,ReportDate,CrashCount,Year,Month,Day
607,2014/11/29,39,2014,11,29
608,2014/11/30,34,2014,11,30
609,2014/12/01,63,2014,12,01
610,2014/12/02,57,2014,12,02
611,2014/12/03,60,2014,12,03
612,2014/12/04,54,2014,12,04
613,2014/12/05,66,2014,12,05
614,2014/12/06,69,2014,12,06
615,2014/12/07,39,2014,12,07
616,2014/12/08,56,2014,12,08
617,2014/12/09,60,2014,12,09
618,2014/12/10,56,2014,12,10
619,2014/12/11,65,2014,12,11
620,2014/12/12,58,2014,12,12
621,2014/12/13,72,2014,12,13
622,2014/12/14,43,2014,12,14
623,2014/12/15,63,2014,12,15
624,2014/12/16,54,2014,12,16
625,2014/12/17,52,2014,12,17
626,2014/12/18,59,2014,12,18
627,2014/12/19,51,2014,12,19
628,2014/12/20,48,2014,12,20
629,2014/12/21,42,2014,12,21
630,2014/12/22,50,2014,12,22
631,2014/12/23,39,2014,12,23
632,2014/12/24,40,2014,12,24
633,2014/12/25,21,2014,12,25
634,2014/12/26,35,2014,12,26
635,2014/12/27,34,2014,12,27
636,2014/12/28,34,2014,12,28
637,2014/12/29,40,2014,12,29
638,2014/12/30,41,2014,12,30
639,2014/12/31,4,2014,12,31
640,2015/01/01,46,2015,01,01
641,2015/01/02,22,2015,01,02
642,2015/01/03,39,2015,01,03
643,2015/01/04,29,2015,01,04
644,2015/01/05,36,2015,01,05
645,2015/01/06,92,2015,01,06
646,2015/01/07,44,2015,01,07
647,2015/01/08,59,2015,01,08
648,2015/01/09,47,2015,01,09
649,2015/01/10,42,2015,01,10
650,2015/01/11,31,2015,01,11
651,2015/01/12,69,2015,01,12
652,2015/01/13,53,2015,01,13
653,2015/01/14,34,2015,01,14
654,2015/01/15,58,2015,01,15
655,2015/01/16,72,2015,01,16
656,2015/01/17,49,2015,01,17
657,2015/01/18,42,2015,01,18
658,2015/01/19,31,2015,01,19
659,2015/01/20,55,2015,01,20
660,2015/01/21,47,2015,01,21
661,2015/01/22,61,2015,01,22
662,2015/01/23,69,2015,01,23
663,2015/01/24,54,2015,01,24
664,2015/01/25,34,2015,01,25
665,2015/01/26,42,2015,01,26
666,2015/01/27,48,2015,01,27
667,2015/01/28,54,2015,01,28
668,2015/01/29,50,2015,01,29
669,2015/01/30,61,2015,01,30
670,2015/01/31,66,2015,01,31
671,2015/02/01,51,2015,02,01
672,2015/02/02,42,2015,02,02
673,2015/02/03,51,2015,02,03
674,2015/02/04,62,2015,02,04
675,2015/02/05,42,2015,02,05
676,2015/02/06,57,2015,02,06
677,2015/02/07,53,2015,02,07
678,2015/02/08,48,2015,02,08
679,2015/02/09,49,2015,02,09
680,2015/02/10,51,2015,02,10
681,2015/02/11,47,2015,02,11
682,2015/02/12,55,2015,02,12
683,2015/02/13,72,2015,02,13
684,2015/02/14,49,2015,02,14
685,2015/02/15,52,2015,02,15
686,2015/02/16,51,2015,02,16
687,2015/02/17,27,2015,02,17
688,2015/02/18,58,2015,02,18
689,2015/02/19,62,2015,02,19
690,2015/02/20,53,2015,02,20
691,2015/02/21,55,2015,02,21
692,2015/02/22,48,2015,02,22
693,2015/02/23,51,2015,02,23
694,2015/02/24,46,2015,02,24
695,2015/02/25,48,2015,02,25
696,2015/02/26,60,2015,02,26
697,2015/02/27,56,2015,02,27
698,2015/02/28,65,2015,02,28
699,2015/03/01,49,2015,03,01
700,2015/03/02,61,2015,03,02
701,2015/03/03,63,2015,03,03
702,2015/03/04,68,2015,03,04
703,2015/03/05,42,2015,03,05
704,2015/03/06,44,2015,03,06
705,2015/03/07,57,2015,03,07
706,2015/03/08,55,2015,03,08
707,2015/03/09,58,2015,03,09
708,2015/03/10,65,2015,03,10
709,2015/03/11,53,2015,03,11
710,2015/03/12,77,2015,03,12
711,2015/03/13,57,2015,03,13
712,2015/03/14,68,2015,03,14
713,2015/03/15,43,2015,03,15
714,2015/03/16,41,2015,03,16
715,2015/03/17,53,2015,03,17
716,2015/03/18,52,2015,03,18
717,2015/03/19,56,2015,03,19
718,2015/03/20,61,2015,03,20
719,2015/03/21,45,2015,03,21
720,2015/03/22,52,2015,03,22
721,2015/03/23,58,2015,03,23
722,2015/03/24,50,2015,03,24
723,2015/03/25,54,2015,03,25
724,2015/03/26,62,2015,03,26
725,2015/03/27,67,2015,03,27
726,2015/03/28,60,2015,03,28
727,2015/03/29,39,2015,03,29
728,2015/03/30,41,2015,03,30
729,2015/03/31,70,2015,03,31
730,2015/04/01,58,2015,04,01
731,2015/04/02,72,2015,04,02
732,2015/04/03,71,2015,04,03
733,2015/04/04,69,2015,04,04
734,2015/04/05,48,2015,04,05
735,2015/04/06,71,2015,04,06
736,2015/04/07,56,2015,04,07
737,2015/04/08,74,2015,04,08
738,2015/04/09,56,2015,04,09
739,2015/04/10,65,2015,04,10
740,2015/04/11,85,2015,04,11
741,2015/04/12,64,2015,04,12
742,2015/04/13,51,2015,04,13
743,2015/04/14,58,2015,04,14
744,2015/04/15,59,2015,04,15
745,2015/04/16,61,2015,04,16
746,2015/04/17,61,2015,04,17
747,2015/04/18,58,2015,04,18
748,2015/04/19,51,2015,04,19
749,2015/04/20,43,2015,04,20
750,2015/04/21,58,2015,04,21
751,2015/04/22,49,2015,04,22
752,2015/04/23,68,2015,04,23
753,2015/04/24,78,2015,04,24
754,2015/04/25,56,2015,04,25
755,2015/04/26,61,2015,04,26
756,2015/04/27,45,2015,04,27
757,2015/04/28,69,2015,04,28
758,2015/04/29,75,2015,04,29
759,2015/04/30,75,2015,04,30
760,2015/05/01,60,2015,05,01
761,2015/05/02,59,2015,05,02
762,2015/05/03,53,2015,05,03
763,2015/05/04,69,2015,05,04
764,2015/05/05,83,2015,05,05
765,2015/05/06,57,2015,05,06
766,2015/05/07,68,2015,05,07
767,2015/05/08,89,2015,05,08
768,2015/05/09,70,2015,05,09
769,2015/05/10,62,2015,05,10
